Id,ISBN,Bookshelf,Tags,Wishlist,Started,Ended,Pages_Read,Read,Rating,Review,Short_note,Advanced_note,Quotes,Title,Subtitle,Language,Categories,Authors,Illustrators,Translators,Editors,Narrators,Photographers,Publisher,Pages,Published_At,Format,Series,Volume,Purchase_From,Purchase_Price,Purchase_Date,Description,Date_added
8956964,9781774083444,Chinese Novels,Romance,0,,,0,0,,,,,,Limerence,,en,Romance Manga,Jiang Zi Bei,,Connie Yolanda,Michaela M,,,Via Lactea Ltd.,378,2023-04-15,paperback,,,Amazon,22.48,2023-09-12,"Pei Ran recently noticed two things. First, his boyfriend of 3 years seems to be cheating on him. Second, the way his boyfriend's flatmate looks at him, something is not quite right there.",2023-09-12
10402702,9781774083260,Chinese Novels,Lip and Sword,0,2023-09-12,2023-09-13,318,1,2.5,,,,,Lip and Sword-1,,en,,Jin Shi Si Chai,,Queenie Erin,,,,Via Lactea Ltd.,318,2023-07-31,,Lip and Sword,1,Amazon,17.16,2023-09-12,"In order to find out the truth about his father's wrongful death in prison, Med school graduate Xing Ming resolutely entered the news industry. With his dedication and commitment to pursuing journalism, he becomes a popular news anchor, known sometimes as an ""Ice Prince"". To clear his father's name and bring justice to his case, Xing Ming went so far as to sacrifice himself, clinging to influential and powerful people. He hates Yu Zhongye's selfishness and indifference but has to accept his advice and help again and again. With Yu Zhongye's guidance, Xing Ming eventually grows into a professional journalist while also managing to keep the bottom line of reporting with integrity. As his show goes on, his life gradually unwinds, and the truth about his father's wrongful conviction gradually emerges... But when he opened that final door, waiting for him was...",2023-09-12
9784722,9781774083581,Chinese Novels,Rose and Renaissance,0,2023-09-18,2023-09-19,328,1,3,,,,,Rose and Renaissance#1,,en,Comics & Graphic Novels,Zhi Chu,,MS Xia Meiling,,,,Via Lactea Ltd.,328,2023-04-15,paperback,Rose and Renaissance,1,Amazon,22.38,2023-09-12,"Kids make choices, Adults make love. --Rose and Renaissance Cool and alpha to his core, playboy Xia Xiqing has everyone fooled with that angelic face of his, but he just had to give the game away in front of his idol and reveal his true colors⁠-and so Xia Xiqing's first encounter with his idol backfired on him and ruined his chances. Xia Xiqing: I like you a lot. Zhou Ziheng: stay-away-from-me.jpg However, Xia Xiqing beautiful face appearing for just three seconds in the audience of a press conference leads to his debut as Zhou Ziheng's foremost fan, and he, together with his idol, gets on the trending list, gets on a reality show, and gets on... That's right, it's exactly as you think. But it's not quite what Xia Xiqing thinks it to be. At first, he think he's hooked up with the unrivaled alpha of the entertainment industry, but it's only after he strips away the latter's public persona that he finds out that Zhou Ziheng is a naive and innocent tsundere. He thought he has gotten an ""I bedded my idol"" script, but in the end, it turns out to be a script of ""my idol bedded me."" How... stimulating. *lights up cigarette* Xia Xiqing: I thought you didn't like me at all. What's with all this hugging and clinging? Zhou Ziheng: Well, I take it back. Xia Xiqing goes idol-chasing at a public event just once, and it results both in him going viral and also in everything immediately backfiring on him as his true colors get revealed to his idol, thus belying his angelic appearance. Aft...",2023-09-12
11252123,9781685794675,Chinese Novels,Yuwu (Remnants of Filth),0,,,0,0,,,,,,Remnants of Filth 1,,en,"LGBTQ2S+ Fiction,Gay Romance",Rou Bao Bu Chi Rou,St,,,,,Seven Seas,440,2023-04-18,paperback,Remnants of Filth: Yuwu (Novel),1,Amazon,15.88,2023-08-01,"The wildly popular danmei/Boys' Love novel series from China set in the universe of The Husky and His White Cat Shizun!

A historical fantasy epic about two war generals who were once close...until dark circumstances ripped them apart.

The empire of Chonghua once produced two young generals who rose to prominence fighting side by side. Mo Xi, reserved in nature, was known for his commanding air and ruthless temperament. His best friend and comrade, Gu Mang, was the complete opposite: as charming as he was clever, he was beloved by his soldiers and the people. That is, until Gu Mang shocked the empire by turning traitor to serve an enemy nation.

Years later, a feral Gu Mang has returned, his mind broken. The public demands his death, and no one is assumed more hungry for vengeance against him than Mo Xi. But when Mo Xi stays his hand, the question must be asked—what is the true relationship between the pair? And what past secrets hide beneath Mo Xi’s icy exterior and Gu Mang’s tortured psyche?

This Chinese fantasy (xianxia) epic built around the desire between two men (danmei) is the newest hit set in the universe of The Husky and His White Cat Shizun. The Seven Seas English-language edition will include exclusive, all-new covers and interior illustrations from artist St.",2023-08-22
9124823,9781685798390,Chinese Novels,Mo Dao Zu Shi,0,,,500,1,5,,,,,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 5 (Barnes & Noble  Exclusive Edition),,en,"Romance,Sci-Fi & Fantasy",Mo Xiang Tong Xiu,Marina Privalova,,,,,Seven Seas,500,2023-05-02,paperback,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel),5,Barnes & Noble,40,2023-05-09,,2023-05-09
9064425,9781956609974,Chinese Novels,Golden Terrace,0,,,414,1,3,,,,,Golden Terrace 1,Book 1,en,"LGBTQ+ Historical Fiction,Historical Fiction,Ancient World Historical Romance","Cang Wu Bin Bai,Translator: E. Danglars",,E. Danglars,Molly Rabbitt,,,Peach Flower House,414,2022-11-15,paperback,Golden Terrace,1,Book Depository,16.71,2023-05-02,"It is year twenty-five of the Yuantai Era of the Great Zhou Empire. The renowned Marquis of Jingning, commander of the Beiyan Cavalry, Fu Shen is injured on the battlefield at the northern border. Returning with a broken leg to the capital, Fu Shen learns that the emperor has conferred a marriage for him—with another man. To make matters worse, Fu Shen’s spouse is his political nemesis: the famed Imperial Investigator of the Feilong Guard, Yan Xiaohan.

In spite of the political differences that stand between them in court, Fu Shen and Yan Xiaohan gradually start to accept each other’s presence in their shared home. Yet as they learn to navigate their new life together, it is the calm before the storm. The mystery behind the attack at the northern border begins to unfold, unveiling dangers that threaten the peace of Great Zhou.",2023-05-02
9064435,9781956609967,Chinese Novels,Golden Terrace,0,,,408,1,3,,,,,Golden Terrace 2,Book 2,en,"LGBTQ+ Historical Fiction,Historical Fiction,Ancient World Historical Romance","Cang Wu Bin Bai,Translator: E. Danglars",,E. Danglars,Molly Rabbitt,,,Peach Flower House,408,2022-11-15,paperback,Golden Terrace,2,Book Depository,16.67,2023-05-02,"As the bond between Fu Shen and Yan Xiaohan deepens, the looming threat above the empire of Great Zhou remains omnipresent. After the settlement of the Kuangshan Academy case, Yan Xiaohan accompanies Prince Qi southward to Jingchu. However, an unexpected storm traps Prince Qi’s party inside a mysterious temple and leads Yan Xiaohan into a hidden lion’s den.

Meanwhile, the investigation on Fu Shen’s injury continues to reveal deeper mysteries that enshroud the imperial court. To protect their loved ones and establish peace in this turbulent land, Fu Shen and Yan Xiaohan must conquer the impending danger and uncover the truths of the nation in the final conclusion of this epic chronicle.",2023-05-02
8733118,9781638589327,Chinese Novels,Qian Qiu (Thousand Autumns),0,,,0,0,,,,,,Thousand Autumns 1,,en,"Historical Fiction,LGBTQ+ Romance",Meng Xi Shi,,,,,,Seven Seas,400,2023-01-10,paperback,Thousand Autumns: Qian Qiu (Novel),1,Amazon,12.73,2023-03-29,"In this historical tale, a Daoist martial artist must begin a journey of healing and self-reflection as he resists the temptations of the powerful leader of a demonic sect.

Shen Qiao is a devout Daoist priest who has spent his life honing his skills and spirit, leading his sect with martial talent, beauty beyond measure, and an earnest heart. His polar opposite, Yan Wushi, leads one of the most powerful demonic sects and is said to be unrivaled in his strength and cunning. Yan Wushi believes in the inherently selfish nature of all people—himself included—and that nobody is above committing dark deeds for their own benefit.

When a fight leaves Shen Qiao injured, blind, and with hazy memories, Yan Wushi takes in the defeated sect leader with a dark plan: test the limits of the man’s patience and faith in others to lure him onto the demonic path. Little does he know that he is about to meet the first immovable force of his life, and that two hearts can connect in unexpected ways. With the passing of a thousand autumns, who can stay eternal?

This Chinese historical fiction tale about powerful martial artists (wuxia) built around the desire between two men (danmei) inspired a beloved animated series (donghua). The Seven Seas English-language edition will include exclusive, all-new covers and interior illustrations.",2023-03-29
11252126,9781956609998,Chinese Novels,Little Mushroom,0,,,0,0,,,,,,Little Mushroom 2,Revelations,en,"Fiction, science fiction, general,Fiction, lgbtq+, gay",Shisi,,Xiao,,,,Peach Flower House,396,2022-08-29,paperback,Little Mushroom,2,Amazon,18.4,2023-02-28,"With the retrieval of his spore, An Zhe is closer than ever to being discovered as a xenogenic in the Northern Base. As dissident thorns borne from the Garden of Eden pierce through civilization’s peaceful façade, An Zhe takes this opportunity to escape the human base once and for all.

Just one last obstacle stands in his way: Lu Feng. Facing against each other now as human and xenogenic, the two soon find their fates intertwined in this desolate land.

Meanwhile, despite all adversities, scientists are slowly unraveling the mystery behind the xenogenic mutations and the nature of their apocalyptic world—will this become the key to saving mankind or a damnation sealing its fate?

In this decaying universe, it is the tiny little mushroom who will witness humanity’s final trial….",2023-02-28
10694514,9781638583523,Chinese Novels,Tian Guan Ci Fu,0,,,444,1,3,,,,,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 4,,en,"Fantasy Manga,Science Fiction Manga,Yaoi & LGBTQ+ Manga",Mo Xiang Tong Xiu,,,,,,Seven Seas,444,2022-08-16,paperback,Heaven Official's Blessing: Tian Guan Ci Fu (Novel),4,Book Depository,15.05,2023-01-30,"The blockbuster danmei/Boys' Love novels from China that inspired the animated series! 

This epic historical fantasy about a prince and the mysterious man by his side is now in English, for the very first time.

Born the crown prince of a prosperous kingdom, Xie Lian was renowned for his beauty, strength, and purity. His years of dedication and noble deeds allowed him to ascend to godhood. But those who rise, can also fall...and fall he does, cast from the Heavens again and again and banished to the mortal realm.

Eight hundred years after his mortal life, Xie Lian has ascended to godhood for the third time. Now only a lowly scrap collector, he is dispatched to wander the earthly realm to take on tasks appointed by the heavens to pay back debts and maintain his divinity. Aided by old friends and foes alike, and graced with the company of a mysterious young man with whom he feels an instant connection, Xie Lian must confront the horrors of his past in order to dispel the curse of his present.

This Chinese xianxia fantasy novel series built around the romanticized love between two men (danmei) is the newest work from author Mo Xiang Tong Xiu, and has spawned an ongoing multimedia franchise that's beloved across the world--including the animated series (donghua) that amassed 100+ million views in just its first month. The Seven Seas English-language edition will include covers from 日出的小太陽 (tai3_3), and exclusive, all-new interior illustrations from ZeldaCW.",2023-02-02
8259334,9781638585503,Chinese Novels,Tian Guan Ci Fu,0,,,444,1,3,,,,,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 5,,en,"Fantasy Manga,Romance Manga,LGBTQ+ Manga",Mo Xiang Tong Xiu,ZeldaCW,,,,,Seven Seas,444,2022-12-20,paperback,Heaven Official's Blessing: Tian Guan Ci Fu (Novel),5,Amazon,12.6,2023-01-31,"NEW YORK TIMES BEST SELLER! 

The blockbuster danmei/Boys’ Love novels from China that inspired the animated series! This epic historical fantasy about a prince and the mysterious man by his side is now officially in English, for the very first time!

Born the crown prince of a prosperous kingdom, Xie Lian was renowned for his beauty, strength, and purity. His years of dedication and noble deeds allowed him to ascend to godhood. But those who rise, can also fall…and fall he does, cast from the Heavens again and again and banished to the mortal realm.

Eight hundred years after his mortal life, Xie Lian has ascended to godhood for the third time. Now only a lowly scrap collector, he is dispatched to wander the earthly realm to take on tasks appointed by the heavens to pay back debts and maintain his divinity. Aided by old friends and foes alike, and graced with the company of a mysterious young man with whom he feels an instant connection, Xie Lian must confront the horrors of his past in order to dispel the curse of his present.

The Seven Seas English-language edition will include covers from 日出的小太陽 (tai3_3), and exclusive, all-new interior illustrations from ZeldaCW.",2023-02-02
8259350,9781638589334,Chinese Novels,2ErHA,0,,,400,1,3,,,,,The Husky and His White Cat Shizun,,en,"LGBTQ+ Romance,Historical Fantasy,Romantic Fantasy",Rou Bao Bu Chi Rou,St,,,,,Seven Seas,400,2023-01-24,paperback,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel),2,,12.6,2023-01-31,"Also known as 2ha, the wildly popular danmei/Boys' Love novel series from China that inspired a multimedia franchise!

A historical fantasy epic about a tyrant’s second chance at life and the powerful cultivation teacher he can't get out of his mind.

Massacring his way to the top to become emperor of the cultivation world, Mo Ran’s cruel reign left him with little satisfaction. Now, upon suffering his greatest loss, he takes his own life...

To his surprise, Mo Ran awakens in his own body at age sixteen, years before he ever began his bloody conquests. Now, as a novice disciple at the cultivation sect known as Sisheng Peak, Mo Ran has a second chance at life. This time, he vows that he will attain the gratification that eluded him in his last life: the overly righteous shall fall, and none will dare treat him like a dog ever again! His furious passion burns most fiercely for his shizun, Chu Wanning, the beautiful yet cold cultivation teacher who maintains a cat-like aloofness in his presence. Yet despite Mo Ran’s shameless pursuit of his own goals, he begins to question his previously held beliefs, and wonders if there could be more to his teacher–and his own feelings–than he ever realized.

This Chinese fantasy (xianxia) epic built around the desire between two men (danmei) has been translated into multiple languages and inspired a multimedia franchise in China. The Seven Seas English-language edition will include exclusive, all-new covers and interior illustrations from...",2023-02-02
7639166,9781638583011,Chinese Novels,Mo Dao Zu Shi,0,,,444,1,5,,,,,Grandmaster of Demonic Cultivation,,en,"Fantasy Manga,Romance Manga,LGBTQ+ Manga",Mo Xiang Tong Xiu,Marina Privalova,,,,,Seven Seas,444,2022-12-13,paperback,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel),4,Amazon,12.66,2022-12-24,"History stands poised to repeat itself as Wei Wuxian and Lan Wangji are besieged by walking corpses atop the Burial Mounds. It is here fate offers them a second chance to protect their loved ones and unmask the true instigator of this grisly onslaught. As shocking revelations shake the cultivation world to its very core, the unlikely couple becomes preoccupied with other matters--like an evening of drunken impulse that may push their budding relationship into bold new territory.",2022-12-24
4687265,9781638589297,Chinese Novels,2ErHA,0,,,400,1,3,,,,,The Husky and His White Cat Shizun,,en,"Romance,Gay,Sci-Fi & Fantasy",Rou Bao Bu Chi Rou,St,,,,,Seven Seas,400,2022-10-25,paperback,The Husky and His White Cat Shizun: Erha He Ta De Bai Mao Shizun (Novel),1,Amazona,12.59,2022-12-02,"Also known as 2ha, the wildly popular danmei/Boys' Love novel series from China that inspired a multimedia franchise!

A historical fantasy epic about a tyrant’s second chance at life and the powerful cultivation teacher he can't get out of his mind.

Massacring his way to the top to become emperor of the cultivation world, Mo Ran’s cruel reign left him with little satisfaction. Now, upon suffering his greatest loss, he takes his own life...

To his surprise, Mo Ran awakens in his own body at age sixteen, years before he ever began his bloody conquests. Now, as a novice disciple at the cultivation sect known as Sisheng Peak, Mo Ran has a second chance at life. This time, he vows that he will attain the gratification that eluded him in his last life: the overly righteous shall fall, and none will dare treat him like a dog ever again! His furious passion burns most fiercely for his shizun, Chu Wanning, the beautiful yet cold cultivation teacher who maintains a cat-like aloofness in his presence. Yet despite Mo Ran’s shameless pursuit of his own goals, he begins to question his previously held beliefs, and wonders if there could be more to his teacher–and his own feelings–than he ever realized.

This Chinese fantasy (xianxia) epic built around the desire between two men (danmei) has been translated into multiple languages and inspired a multimedia franchise in China. The Seven Seas English-language edition will include exclusive, all-new covers and interior illustrations from...",2022-12-02
5723161,9781638585541,Chinese Novels,SVSSS (Ren Zha Fanpai Zijiu Xitong),0,,,415,1,2.5,,,,,The Scum Villains Self-Saving System,,en,"Fantasy Manga,Science Fiction Manga,LGBTQ+ Romance",Mo Xiang Tong Xiu,Xiao Tong Velinxi Kong,,,,,Seven Seas,415,2022-11-01,paperback,The Scum Villain's Self-Saving System: Ren Zha Fanpai Zijiu Xitong (Novel),4,Amazon,15.97,2022-11-24,"NEW YORK TIMES BEST SELLER! The blockbuster danmei/Boys’ Love novels from China that inspired the animated Scumbag System series streaming in English!



 A man reborn as a villain in a fantasy novel series ends up accidentally romancing the male protagonist in this fan-favorite tale. Don’t miss this final book (Volume 4), which contains bonus stories that explore the past and future of beloved characters!



What happens after an epic tale ends? This collection of eleven bonus stories picks up days after the end of Volume 3, and follows adventures and relationships into the future...and back into the past. Readers also get a glimpse into another world, where Luo Binghe was never saved by his beloved teacher—unless he can claim this world’s Shen Qingqiu for himself. Other tales recount the riotous history of fan favorites Shang Qinghua and Mobei-Jun, the bittersweet romance of Luo Binghe’s parents, and the untold tragedy of the original scum villain himself.",2022-11-24
7220141,9781638581567,Chinese Novels,Mo Dao Zu Shi,0,,,504,1,5,,,,,Grandmaster of Demonic Cultivation,,en,"Gay Romance,Military Romance,Fantasy",Mo Xiang Tong Xiu,,,,,,Seven Seas,504,2022-06-14,paperback,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel),3,Amazon,13.21,2022-11-14,"Wei Wuxian was once one of the most powerful men of his generation, a talented and clever young cultivator who harnessed martial arts and spirituality into powerful abilities. But when the horrors of war led him to seek more power through demonic cultivation, the world’s respect for his abilities turned to fear, and his death was celebrated throughout the land.

Years later, he awakens in the body of an aggrieved young man who sacrifices his soul so that Wei Wuxian can exact revenge on his behalf. Though granted a second life, Wei Wuxian is not free from his first, nor the mysteries that appear before him now. Yet this time, he’ll face it all with the righteous and esteemed Lan Wangji at his side, another powerful cultivator whose unwavering dedication and shared memories of their past will help shine a light on the dark truths that surround them.

",2022-08-24
